comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
48688,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1394652,All Preferences components should be round corners,all preferences components should be round corners,0,M
15244,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1501977,Remove global Content Blocking toggle in the main menu and about:preferences,remove global content blocking toggle in the main menu and about preferences,0,M
21605,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1435917,Ensure Sync's client properties are reset/updated on profile clone,ensure sync s client properties are reset updated on profile clone,0,M
27508,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1367242,[Photon] Implement new styling for header and search box of bookmarks/history sidebar., photon  implement new styling for header and search box of bookmarks history sidebar ,0,M
10890,106074,Helper App Management,helper app management,1419505,Allow cloning Sync sessions when cloning profiles.,allow cloning sync sessions when cloning profiles ,0,M
28727,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1387557,Download progressbar should use fatter bar when downloading,download progressbar should use fatter bar when downloading,0,M
29048,106074,Helper App Management,helper app management,1429263,Prevent further payment request dialog changes while waiting for change responses,prevent further payment request dialog changes while waiting for change responses,0,M
53247,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1535694,Upload CFR messages to Remote Settings,upload cfr messages to remote settings,0,M
11993,106074,Helper App Management,helper app management,1358303,"[ux] error: invalid URL copy,  design and illustration update", ux  error  invalid url copy   design and illustration update,0,M
19797,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,342916,Index full text of pages as they are bookmarked,index full text of pages as they are bookmarked,0,M
8183,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1478750,Add test coverage for closing one payment dialog and completing payment from another,add test coverage for closing one payment dialog and completing payment from another,0,M
