comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
17006.0,1535773.0,Allow collapsing of top sites and the rest of Discovery Stream content,allow collapsing of top sites and the rest of discovery stream content,1542866.0,[meta] Add server-controllable collapsible sections to Discovery Stream - TBD, meta  add server controllable collapsible sections to discovery stream   tbd,3,M
220.0,1354097.0,Add footer to overflow panel that opens customize mode,add footer to overflow panel that opens customize mode,1387512.0,[Meta] Photon Structure QA Tracking Bug, meta  photon structure qa tracking bug,3,M
2085.0,1534742.0,hasPinnedTabs should take into account previous sessions,haspinnedtabs should take into account previous sessions,1535001.0,[META] CFR, meta  cfr,3,M
9309.0,1444980.0,[META] Customization, meta  customization,1433315.0,[meta] [EPIC] Activity Stream, meta   epic  activity stream,3,M
16725.0,1399891.0,[meta] Suppress the Windows »waiting« cursor when possible, meta  suppress the windows »waiting« cursor when possible,1363750.0,[meta] Photon - Improve perceived UI performance in Firefox, meta  photon   improve perceived ui performance in firefox,3,M
18233.0,1349689.0,Remove old preferences fork (in-content-old),remove old preferences fork  in content old ,1343682.0,Create temporary killswitch for preference reorg,create temporary killswitch for preference reorg,3,M
32907.0,1572841.0,Avoid loading JSMs eagerly in Discovery Stream,avoid loading jsms eagerly in discovery stream,1553937.0,[META] Performance Tweaks, meta  performance tweaks,3,M
51733.0,1355533.0,Try to avoid loading AboutPocket.jsm in the content process at startup,try to avoid loading aboutpocket jsm in the content process at startup,1350472.0,[meta] Reduce the number of jsms loaded in content processes, meta  reduce the number of jsms loaded in content processes,3,M
22895.0,1570568.0,Update FxA toolbar menu to reflect the decoupling of FxA and Sync,update fxa toolbar menu to reflect the decoupling of fxa and sync,1570565.0,"[meta] Decouple ""Signing in to Firefox"" from ""Enabling Firefox Sync""", meta  decouple  signing in to firefox  from  enabling firefox sync ,3,M
15085.0,1370986.0,"Overflow panel subview misses anchor styling, cuts off subviews (needs minimum width?)",overflow panel subview misses anchor styling  cuts off subviews  needs minimum width  ,1354071.0,Switch overflow panel to using a panelmultiview,switch overflow panel to using a panelmultiview,3,M
22871.0,1473772.0,Use Fluent for the PaymentRequest dialog,use fluent for the paymentrequest dialog,1446164.0,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,use fluent in autofill edit dialogs so they can be localized when used in the unprivileged paymentrequest dialog,3,M
55732.0,1354782.0,Avoid layout flush and invalidation loop in _positionPinnedTabs,avoid layout flush and invalidation loop in  positionpinnedtabs,1344302.0,[meta] Photon - Make closing tabs fast, meta  photon   make closing tabs fast,3,M
20569.0,1444483.0,[META] Library View, meta  library view,1433315.0,[meta] [EPIC] Activity Stream, meta   epic  activity stream,3,M
7598.0,1492475.0,Dont block async init of nsSearchService on region fetch,dont block async init of nssearchservice on region fetch,1518548.0,Remove the sync telemetry histogram,remove the sync telemetry histogram,3,M
41801.0,1554293.0,Make sure pocket cards are optimized for screen readers,make sure pocket cards are optimized for screen readers,1535711.0,[meta] Pocket New Tab, meta  pocket new tab,3,M
27056.0,1440777.0,Add support for local actions and implement console-log as a local action,add support for local actions and implement console log as a local action,1440778.0,Implement show-heartbeat action as an internal action,implement show heartbeat action as an internal action,3,M
1270.0,1353954.0,Enable the browser.preferences.search preference to turn on in-content filtering of the preferences,enable the browser preferences search preference to turn on in content filtering of the preferences,1357285.0,[meta] Preferences search, meta  preferences search,3,M
56370.0,1566547.0,Server Side updates to support cardgrid CTA,server side updates to support cardgrid cta,1565029.0,[Meta] Card Component Improvements in 70, meta  card component improvements in 70,3,M
48844.0,1410795.0,"Add automated test for ""Highlights - Context Menu - Save to Pocket""",add automated test for  highlights   context menu   save to pocket ,1410333.0,[meta] Add automated tests for Activity Stream functionality, meta  add automated tests for activity stream functionality,3,M
35405.0,1533170.0,Referrer should come from somewhere instead of hardcoded,referrer should come from somewhere instead of hardcoded,1535711.0,[meta] Pocket New Tab, meta  pocket new tab,3,M
29922.0,237592.0,Bookmarks/RSS items should always show tooltip when hovering with mouse,bookmarks rss items should always show tooltip when hovering with mouse,320495.0,"when truncating too long RSS headlines, make tooltip with complete text",when truncating too long rss headlines  make tooltip with complete text,3,M
43011.0,1522489.0,[meta] Port remaining urlbar tests to QuantumBar, meta  port remaining urlbar tests to quantumbar,1522512.0,Port tests in browser/base/content/test/performance/ to the new address bar implementation (quantumbar),port tests in browser base content test performance  to the new address bar implementation  quantumbar ,3,M
19207.0,106077.0,Mac OS implementation of new RDF datasource interface,mac os implementation of new rdf datasource interface,106074.0,Helper App Management,helper app management,3,M
7300.0,1483040.0,Add snippets targeting for total URIs count,add snippets targeting for total uris count,1513279.0,[META] Snippets, meta  snippets,3,M
