comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
27689,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1383009,Add flexible spaces around the URL and search bar by default and replace the bookmarks button with the library one,add flexible spaces around the url and search bar by default and replace the bookmarks button with the library one,0,M
44494,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1428306,Investigate removing browser.storageManager.enabled pref,investigate removing browser storagemanager enabled pref,0,M
54215,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1505319,Remove --cfr-notification-header-image and --cfr-notification-footer-star variables,remove   cfr notification header image and   cfr notification footer star variables,0,M
10095,106074,Helper App Management,helper app management,1515799,Evaluate how we can avoid slowly regressing startup time/performance by doing more construction work for custom elements than we used to do for XBL,evaluate how we can avoid slowly regressing startup time performance by doing more construction work for custom elements than we used to do for xbl,0,M
6502,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1456158,Add schema / propTypes for AS Router Simple Snippet template,add schema   proptypes for as router simple snippet template,0,M
46096,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1530809,LaunchUnelevated should use ProcessRuntime to start COM instaed of STARegion,launchunelevated should use processruntime to start com instaed of staregion,0,M
11289,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1357668,[UX] The UX specs for the onBoarding tour notifications, ux  the ux specs for the onboarding tour notifications,0,M
13716,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1350494,Sync filtered synced tab URLs,sync filtered synced tab urls,0,M
17632,106074,Helper App Management,helper app management,1543108,Land a new provider for CFR FxA messages,land a new provider for cfr fxa messages,0,M
50080,115041,support %u in mailcap helpers,support  u in mailcap helpers,1483615,Turn search shortcuts off and default filtering by default for release,turn search shortcuts off and default filtering by default for release,0,M
51511,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1385453,"Make it possible for async tab switcher to ""warm up"" tabs that are likely to be displayed soon",make it possible for async tab switcher to  warm up  tabs that are likely to be displayed soon,0,M
47130,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1385952,Stop loading Preferences.jsm module before becoming idle,stop loading preferences jsm module before becoming idle,0,M
508,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1480542,Implement new overflow menu to permanently be visible,implement new overflow menu to permanently be visible,0,M
25234,106074,Helper App Management,helper app management,1554282,About:welcome page links are not properly highlighted when pressing TAB key,about welcome page links are not properly highlighted when pressing tab key,0,M
6876,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,289176,Add sound events to Firefox.,add sound events to firefox ,0,M
9139,106074,Helper App Management,helper app management,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches, meta  tracking  add full text indexing to bookmark and or history searches,0,M
35326,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1535749,Load new tab pocket article images closer to when they might be shown,load new tab pocket article images closer to when they might be shown,0,M
14562,106074,Helper App Management,helper app management,1525487,"Clicking a search alias offer result should fill the alias in the input, not visit the engine's site",clicking a search alias offer result should fill the alias in the input  not visit the engine s site,0,M
9564,106074,Helper App Management,helper app management,1368255,Overflow panel code is confused if CustomizableUI.reset() removes items directly from the overflow panel,overflow panel code is confused if customizableui reset   removes items directly from the overflow panel,0,M
30326,106074,Helper App Management,helper app management,1461921,Block storage access for third-parties on the tracking protection list,block storage access for third parties on the tracking protection list,0,M
2084,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1549561,Expose attributes from nsITransportSecurityInfo for failed channels to content for about certerror use,expose attributes from nsitransportsecurityinfo for failed channels to content for about certerror use,0,M
13901,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1439832,"Add automated test for ""Bookmarks can be opened from the Bookmarks Menu""",add automated test for  bookmarks can be opened from the bookmarks menu ,0,M
27369,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1464126,Implement the rest of simple_snippet template variables in AS Router,implement the rest of simple snippet template variables in as router,0,M
41280,115041,support %u in mailcap helpers,support  u in mailcap helpers,1492549,Enable blocking access to storage from tracking resources by default on all desktop platforms,enable blocking access to storage from tracking resources by default on all desktop platforms,0,M
34263,106074,Helper App Management,helper app management,1552333,Expose failedCertChain info from nsITransportSecurityInfo in content for about:certerror use,expose failedcertchain info from nsitransportsecurityinfo in content for about certerror use,0,M
42239,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1427701,"Add automated test for ""Tags can be added to bookmarks using the star-shaped button""",add automated test for  tags can be added to bookmarks using the star shaped button ,0,M
21353,106074,Helper App Management,helper app management,1566547,Server Side updates to support cardgrid CTA,server side updates to support cardgrid cta,0,M
50556,106074,Helper App Management,helper app management,1405500,[meta] pocket should have local state, meta  pocket should have local state,0,M
31207,106074,Helper App Management,helper app management,137339,want way to hand URL to helper apps without downloading whole document first (for streaming),want way to hand url to helper apps without downloading whole document first  for streaming ,0,M
44586,115041,support %u in mailcap helpers,support  u in mailcap helpers,1502920,Add search shortcuts for bookmarks and open tabs,add search shortcuts for bookmarks and open tabs,0,M
43647,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1522807,Rename MATCH_GROUP to RESULT_GROUP,rename match group to result group,0,M
21273,106074,Helper App Management,helper app management,1458061,Implement ability to reload a selection of tabs,implement ability to reload a selection of tabs,0,M
23039,106074,Helper App Management,helper app management,1413780,Make canvas permission a first-class permission,make canvas permission a first class permission,0,M
23045,106074,Helper App Management,helper app management,1432673,gSnippetsMap parity in ASRouter,gsnippetsmap parity in asrouter,0,M
