comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
44494,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1428306,Investigate removing browser.storageManager.enabled pref,investigate removing browser storagemanager enabled pref,0.0,M
50080,115041,support %u in mailcap helpers,support  u in mailcap helpers,1483615,Turn search shortcuts off and default filtering by default for release,turn search shortcuts off and default filtering by default for release,0.0,M
508,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1480542,Implement new overflow menu to permanently be visible,implement new overflow menu to permanently be visible,0.0,M
25234,106074,Helper App Management,helper app management,1554282,About:welcome page links are not properly highlighted when pressing TAB key,about welcome page links are not properly highlighted when pressing tab key,0.0,M
30326,106074,Helper App Management,helper app management,1461921,Block storage access for third-parties on the tracking protection list,block storage access for third parties on the tracking protection list,0.0,M
21353,106074,Helper App Management,helper app management,1566547,Server Side updates to support cardgrid CTA,server side updates to support cardgrid cta,0.0,M
43647,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1522807,Rename MATCH_GROUP to RESULT_GROUP,rename match group to result group,0.0,M
2503,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1547062,Telemetry and branch generation for trailhead first run,telemetry and branch generation for trailhead first run,0.0,M
40880,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,225680,Ability to detach/tear off tabs (Open a tab in a new window),ability to detach tear off tabs  open a tab in a new window ,0.0,M
39034,115041,support %u in mailcap helpers,support  u in mailcap helpers,470699,Sync site permissions (nsIPermissionManager),sync site permissions  nsipermissionmanager ,0.0,M
22161,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1364070,Add performance settings section into the old organization,add performance settings section into the old organization,0.0,M
32986,106074,Helper App Management,helper app management,1513312,update pref-based-cohorting code to match feedback API,update pref based cohorting code to match feedback api,0.0,M
20136,106074,Helper App Management,helper app management,1460208,Add learn more link to autoplay media,add learn more link to autoplay media,0.0,M
1530,106074,Helper App Management,helper app management,1444886,"When closing a tab, select the next tab at the same time as the closed tab disappears",when closing a tab  select the next tab at the same time as the closed tab disappears,0.0,M
1022,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1527940,Port one-off search button tests to QuantumBar,port one off search button tests to quantumbar,0.0,M
51609,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1561942,Messaging System devtools support for What's New panel,messaging system devtools support for what s new panel,0.0,M
53464,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1432669,Prefetching experiment,prefetching experiment,0.0,M
50727,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1476616,SessionStore.setTabState should serialize principals,sessionstore settabstate should serialize principals,0.0,M
18984,106074,Helper App Management,helper app management,1568692,Show a page like what's new on startup once but not dependent on major version bump,show a page like what s new on startup once but not dependent on major version bump,0.0,M
