comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
35075,106074,Helper App Management,helper app management,1438375,"Refactor ""extensionControlled"" Preferences code to use Fluent",refactor  extensioncontrolled  preferences code to use fluent,0,M
36613,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1502731,Remove @hudButton@ and @hudButtonPressed@ and improve bookmark panel styling,remove  hudbutton  and  hudbuttonpressed  and improve bookmark panel styling,0,M
49497,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1367097,Update overflow panel height when removing items from it,update overflow panel height when removing items from it,0,M
308,106074,Helper App Management,helper app management,1375870,_constructAfterChildren in preferences.xml should be called only once, constructafterchildren in preferences xml should be called only once,0,M
1177,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1474238,"Add a ""report breakage"" dialog for Tracking Protection",add a  report breakage  dialog for tracking protection,0,M
13716,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1350494,Sync filtered synced tab URLs,sync filtered synced tab urls,0,M
44221,106074,Helper App Management,helper app management,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,use fluent in autofill edit dialogs so they can be localized when used in the unprivileged paymentrequest dialog,0,M
4337,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1478545,The Enable Tracking Protection button looks disabled,the enable tracking protection button looks disabled,0,M
45445,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1501304,Add telemetry for CFR opt-out controls,add telemetry for cfr opt out controls,0,M
42816,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1563345,[meta] Desktop First Run Fx 70, meta  desktop first run fx 70,0,M
30767,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1386005,Make bookmarks toolbar items blend in better in the overflow panel,make bookmarks toolbar items blend in better in the overflow panel,0,M
15376,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1374477,"Photon API for adding, removing, and moving page actions",photon api for adding  removing  and moving page actions,0,M
19223,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1557058,use real data for protection report graph,use real data for protection report graph,0,M
34158,115041,support %u in mailcap helpers,support  u in mailcap helpers,1357348,Add performance section and the UI component for content process count setting,add performance section and the ui component for content process count setting,0,M
4307,106074,Helper App Management,helper app management,1549802,Update card button actions with final finalized urls or actions,update card button actions with final finalized urls or actions,0,M
620,106074,Helper App Management,helper app management,1382514,Remove MOZ_PHOTON_PREFERENCES build flag which introduces in bug 1380585,remove moz photon preferences build flag which introduces in bug 1380585,0,M
37270,106074,Helper App Management,helper app management,1528953,Add pref to opt out of recommended features,add pref to opt out of recommended features,0,M
39887,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1570754,Add delay to clearing triplets and block extended from about:welcome,add delay to clearing triplets and block extended from about welcome,0,M
46096,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1530809,LaunchUnelevated should use ProcessRuntime to start COM instaed of STARegion,launchunelevated should use processruntime to start com instaed of staregion,0,M
15778,106074,Helper App Management,helper app management,1535448,[Accessibility] In Pocket New Tab handle focus state while navigating with keyboard, accessibility  in pocket new tab handle focus state while navigating with keyboard,0,M
10095,106074,Helper App Management,helper app management,1515799,Evaluate how we can avoid slowly regressing startup time/performance by doing more construction work for custom elements than we used to do for XBL,evaluate how we can avoid slowly regressing startup time performance by doing more construction work for custom elements than we used to do for xbl,0,M
7456,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1570569,Update synced-tabs menu and sidebar to reflect the decoupling of FxA and Sync,update synced tabs menu and sidebar to reflect the decoupling of fxa and sync,0,M
6821,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1471263,Re-enable the test_show_field_specific_error_on_addresschange test in browser_shippingaddresschange_error.js,re enable the test show field specific error on addresschange test in browser shippingaddresschange error js,0,M
