comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
29038,106074,Helper App Management,helper app management,369901,"No AppleScript way to get browser window tab URLs, titles",no applescript way to get browser window tab urls  titles,0,M
44889,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1353436,[ux] SVG assets for new bookmark star animation, ux  svg assets for new bookmark star animation,0,M
38886,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1552773,Show Content Blocking dropdowns label even when in disabled state,show content blocking dropdowns label even when in disabled state,0,M
3120,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1351413,Disable animations/transitions based on Windows Experience Index,disable animations transitions based on windows experience index,0,M
49664,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1519871,implement borderless ds lists,implement borderless ds lists,0,M
7250,106074,Helper App Management,helper app management,1375687,"Add ""Subscribe"" to page actions",add  subscribe  to page actions,0,M
21880,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1355395,"[UX] Need spec for ""More Window Drag Space"" setting", ux  need spec for  more window drag space  setting,0,M
47130,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1385952,Stop loading Preferences.jsm module before becoming idle,stop loading preferences jsm module before becoming idle,0,M
50738,106074,Helper App Management,helper app management,1488978,We should probably remove the shield when a storage exception is granted,we should probably remove the shield when a storage exception is granted,0,M
11361,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1462470,Update Tracking Protection section in the identity popup,update tracking protection section in the identity popup,0,M
38081,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1433238,Create dashboard for highlight types,create dashboard for highlight types,0,M
56262,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1487783,Create a basic directory & format for the new components of the address bar rewrite,create a basic directory   format for the new components of the address bar rewrite,0,M
12449,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,248715,Avoid shifting the page when toolbars appear or disappear,avoid shifting the page when toolbars appear or disappear,0,M
10677,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1353434,[ux] New download animation for photon + SVG assets, ux  new download animation for photon   svg assets,0,M
30729,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1381377,Do preference check before loading onboarding.js,do preference check before loading onboarding js,0,M
38949,106074,Helper App Management,helper app management,1544422,CFR Pin Tabs animation wrongly shows the initial frame when it is paused,cfr pin tabs animation wrongly shows the initial frame when it is paused,0,M
13745,115041,support %u in mailcap helpers,support  u in mailcap helpers,1492475,Dont block async init of nsSearchService on region fetch,dont block async init of nssearchservice on region fetch,0,M
49253,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1353360,Update panelmultiview subviews to match photon design,update panelmultiview subviews to match photon design,0,M
24945,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1433239,Run message center rotation / frequency experiment,run message center rotation   frequency experiment,0,M
16346,106074,Helper App Management,helper app management,1437494,Add 2 more Default Top Sites in wide view,add 2 more default top sites in wide view,0,M
17422,115041,support %u in mailcap helpers,support  u in mailcap helpers,1356479,"[User Story] [Overlay] [Tour Experiment] As a user, I want to learn what I can do with ""Add-ons""", user story   overlay   tour experiment  as a user  i want to learn what i can do with  add ons ,0,M
18819,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1364896,Browser chrome: increase margin of context menus when they are triggered with touch (as we do with context menus in content),browser chrome  increase margin of context menus when they are triggered with touch  as we do with context menus in content ,0,M
52750,106074,Helper App Management,helper app management,1483425,"Form fields shouldn't be marked invalid immediately for an add form, only an edit form",form fields shouldn t be marked invalid immediately for an add form  only an edit form,0,M
55543,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1433324,Remove browser.newtabpage.activity-stream.enabled and browser.newtabpage.activity-stream.aboutHome.enabled prefs,remove browser newtabpage activity stream enabled and browser newtabpage activity stream abouthome enabled prefs,0,M
2980,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1359625,[UX] Provide detailed UX specs for edit and zoom controls in the new hamburger panel, ux  provide detailed ux specs for edit and zoom controls in the new hamburger panel,0,M
6577,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1492088,Add ASR Snippets Send to device Template,add asr snippets send to device template,0,M
42239,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1427701,"Add automated test for ""Tags can be added to bookmarks using the star-shaped button""",add automated test for  tags can be added to bookmarks using the star shaped button ,0,M
34201,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1472212,Set browser.tabs.remote.separatePrivilegedContentProcess to true by default in Nightly,set browser tabs remote separateprivilegedcontentprocess to true by default in nightly,0,M
1275,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,648683,Expose tabs on-demand preference,expose tabs on demand preference,0,M
35503,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1452645,"Remove ""Open in Sidebar"" feature",remove  open in sidebar  feature,0,M
1676,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1565159,Add keyboard access for messages without a CTA link,add keyboard access for messages without a cta link,0,M
30064,106074,Helper App Management,helper app management,1347543,Change Toolbar Icons from PNG to SVG,change toolbar icons from png to svg,0,M
