comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
48688,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1394652,All Preferences components should be round corners,all preferences components should be round corners,0.0,M
28727,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1387557,Download progressbar should use fatter bar when downloading,download progressbar should use fatter bar when downloading,0.0,M
41858,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1474938,Enable the multiselect tabs feature by default for release and beta builds,enable the multiselect tabs feature by default for release and beta builds,0.0,M
46323,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1502655,Remove remaining frontend livemarks code,remove remaining frontend livemarks code,0.0,M
8361,106074,Helper App Management,helper app management,1557494,Domain affinity lists can be edited by ad operations,domain affinity lists can be edited by ad operations,0.0,M
20978,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1368209,Break up `Engine::_processIncoming`,break up  engine   processincoming ,0.0,M
35695,106074,Helper App Management,helper app management,926877,Windows uninstaller should offer to Reset Firefox,windows uninstaller should offer to reset firefox,0.0,M
2513,115041,support %u in mailcap helpers,support  u in mailcap helpers,1525305,"""List All Tabs"" UI should include a close tab button and/or allow middle-clicking for each tab listed.", list all tabs  ui should include a close tab button and or allow middle clicking for each tab listed ,0.0,M
43695,106074,Helper App Management,helper app management,1425690,Avoid getCharPref in browser-sync.js,avoid getcharpref in browser sync js,0.0,M
33136,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1410899,"Add automated test for ""Activity Stream - Private window""",add automated test for  activity stream   private window ,0.0,M
49678,106074,Helper App Management,helper app management,1483622,"Wording issue on new cert-error page copy: ""steal information like your...credit cards"".  [Credit Cards are not Information]",wording issue on new cert error page copy   steal information like your   credit cards     credit cards are not information ,0.0,M
54483,106074,Helper App Management,helper app management,1353013,Kick off preloading about:newtab at a better time,kick off preloading about newtab at a better time,0.0,M
14072,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1471532,Support Windows in ASan Nightly Reporter builds,support windows in asan nightly reporter builds,0.0,M
16724,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1475537,Clean up addTab parameter handling,clean up addtab parameter handling,0.0,M
22148,115041,support %u in mailcap helpers,support  u in mailcap helpers,1534775,[META] Discovery Stream Performance Improvements - fx68, meta  discovery stream performance improvements   fx68,0.0,M
10412,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1324289,Send clipboard/pasteboard content to other devices,send clipboard pasteboard content to other devices,0.0,M
22953.0,1485002.0,[META] Fluent migration using in-tree strings, meta  fluent migration using in tree strings,1555393.0,Remove activity-stream-prerender.jsx and build code,remove activity stream prerender jsx and build code,1.0,M
48330.0,1433177.0,[Meta] New bookmark sync, meta  new bookmark sync,1433697.0,Handle deletions that don't exist on one side when merging synced bookmarks,handle deletions that don t exist on one side when merging synced bookmarks,1.0,M
45355.0,1432589.0,[META] Preferences, meta  preferences,1417155.0,Add new Home / New Tab page preference section for default / blank / custom / add-on,add new home   new tab page preference section for default   blank   custom   add on,1.0,M
4678.0,1535711.0,[meta] Pocket New Tab, meta  pocket new tab,1543442.0,Update styles for more general collapsible sections,update styles for more general collapsible sections,1.0,M
34124.0,1442203.0,[meta] Improve cert error pages, meta  improve cert error pages,1362079.0,Display a more helpful error when a SSL handshake fails due to a client certificate,display a more helpful error when a ssl handshake fails due to a client certificate,1.0,M
5352.0,1415730.0,[tracking] Migrate Preferences to the new Localization API, tracking  migrate preferences to the new localization api,1453540.0,Migrate the remaining DTD entries to FTL,migrate the remaining dtd entries to ftl,1.0,M
48084.0,1356532.0,Try avoiding layout flushes in autocomplete::_handleOverflow,try avoiding layout flushes in autocomplete   handleoverflow,1434376.0,Make BrowserUtils.promiseReflowed and BrowserUtils.promiseLayoutFlushed reliable,make browserutils promisereflowed and browserutils promiselayoutflushed reliable,1.0,M
52984.0,1457565.0,[META] Onboarding / First Run, meta  onboarding   first run,1449651.0,Apply dark theme style to onboarding overlay and icon,apply dark theme style to onboarding overlay and icon,1.0,M
30476.0,530399.0,[meta] potential data types to sync, meta  potential data types to sync,534956.0,Sync add-ons,sync add ons,1.0,M
12927.0,1348289.0,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage), meta  photon   improve perceived ui performance in firefox  bugs for triage ,1358173.0,"Removing an ""addon-alert"" notification that doesn't exist is 8% of _delayedStartup",removing an  addon alert  notification that doesn t exist is 8  of  delayedstartup,1.0,M
2073.0,1351268.0,[meta] Photon - Update product messaging with the appropriate tone, meta  photon   update product messaging with the appropriate tone,1357863.0,[ux] about:rights design and illustration update, ux  about rights design and illustration update,1.0,M
35108.0,1387013.0,[meta] Stuff we can remove now that XUL extensions are no longer supported, meta  stuff we can remove now that xul extensions are no longer supported,1387253.0,"Remove custom styling for <toolbarbutton type=""menu-button""> in the navigation and tab toolbars",remove custom styling for  toolbarbutton type  menu button   in the navigation and tab toolbars,1.0,M
13556.0,1536844.0,[META] Pocket + New Tab 68, meta  pocket   new tab 68,1548329.0,Load discovery stream feeds sequentially without blocking,load discovery stream feeds sequentially without blocking,1.0,M
982.0,1437659.0,[META] Reduce Backlog, meta  reduce backlog,1422882.0,Difficult to delete the google website from top sites when there's multiple search result pages,difficult to delete the google website from top sites when there s multiple search result pages,1.0,M
51831.0,1501817.0,Create FxA onboarding card,create fxa onboarding card,1503947.0,Add a function to FxAccountsConfig to return the correct url for onboarding fxa card,add a function to fxaccountsconfig to return the correct url for onboarding fxa card,1.0,M
8720.0,1435780.0,[Meta] Firefox launcher process, meta  firefox launcher process,1454745.0,Skeletal bootstrap process,skeletal bootstrap process,1.0,M
43049.0,1354127.0,Add 'More' button to static hamburger menu,add  more  button to static hamburger menu,1352695.0,[meta] Update the hamburger panel for Photon, meta  update the hamburger panel for photon,3.0,M
407.0,1476345.0,Address add/edit page error handling fixes,address add edit page error handling fixes,1427951.0,[meta] Payment Request Shipping/Contact Address Add/Edit page, meta  payment request shipping contact address add edit page,3.0,M
