,req1Id,req1,req1Product,req1Type,req2Id,req2,req2Product,req2Type,BinaryClass,MultiClass
534,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),Firefox,enhancement,1,blocks
535,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,191000,[RFE] allow users to override mime type for gz and other suffixes,Firefox,enhancement,1,blocks
536,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,258012,"Add UI for ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,1,blocks
551,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,291120,Opening wierd mime types no option to open with Firefox,Firefox,enhancement,1,similar
552,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,313296,should always be possible to view files files as plain text,Firefox,enhancement,1,similar
556,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,578990,"feature request: offer ""show as plain text"" option on unknown content type",Firefox,enhancement,1,similar
598,58554,Support using external programs to show non-inlined images and other content,Firefox,enhancement,297643,Context menu option to open link/image using an external application,Firefox,enhancement,1,blocks
664,64286,"web archive save/view support (KDE/Konqueror-like .war, .zip, .tgz, .tar.gz, .tar.bz2, tb2, .tbz2, .jar)",Firefox,enhancement,279557,Zip File Browsing support,Firefox,enhancement,1,similar
665,64286,"web archive save/view support (KDE/Konqueror-like .war, .zip, .tgz, .tar.gz, .tar.bz2, tb2, .tbz2, .jar)",Firefox,enhancement,289868,Option to save page as html.tar.gz and read such a page,Firefox,enhancement,1,similar
666,64286,"web archive save/view support (KDE/Konqueror-like .war, .zip, .tgz, .tar.gz, .tar.bz2, tb2, .tbz2, .jar)",Firefox,enhancement,392092,wish for saving pages as war archives,Firefox,enhancement,1,similar
971,106074,Helper App Management,Firefox,enhancement,106075,Define RDF datasource interface,Firefox,enhancement,1,requires
972,106074,Helper App Management,Firefox,enhancement,106076,Win32 implementation of new RDF datasource interface,Firefox,enhancement,1,requires
973,106074,Helper App Management,Firefox,enhancement,106077,Mac OS implementation of new RDF datasource interface,Firefox,enhancement,1,requires
974,106074,Helper App Management,Firefox,enhancement,106078,Linux implementation of new RDF datasource interface,Firefox,enhancement,1,requires
975,106074,Helper App Management,Firefox,enhancement,106079,Modify uriloader and uriloader\exthandler to use composite datasource,Firefox,enhancement,1,requires
1052,115041,support %u in mailcap helpers,Firefox,enhancement,137339,want way to hand URL to helper apps without downloading whole document first (for streaming),Firefox,enhancement,1,requires
1130,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",Firefox,enhancement,369901,"No AppleScript way to get browser window tab URLs, titles",Firefox,enhancement,1,requires
1131,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",Firefox,enhancement,939528,Browse windows and tabs in AppleScript,Firefox,enhancement,1,requires
1133,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",Firefox,enhancement,46407,The current URL cannot be querried by another app,Firefox,enhancement,1,requires
1140,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",Firefox,enhancement,308558,There is hardly ANY AppleScript support in FireFox.,Firefox,enhancement,1,similar
1208,137339,want way to hand URL to helper apps without downloading whole document first (for streaming),Firefox,enhancement,115041,support %u in mailcap helpers,Firefox,enhancement,1,blocks
1243,152289,new Filepicker filters for Nvu,Firefox,enhancement,125216,FilePicker doesn't support defining a filter via a MIME type,Firefox,enhancement,1,requires
1349,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),Firefox,enhancement,57342,"Add ""View as Text/HTML/..."" option for unknown mime content-type",Firefox,enhancement,1,requires
1353,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),Firefox,enhancement,466608,Allow opening supported files inside Firefox when download forced,Firefox,enhancement,1,similar
1477,236587,Allow bookmark keyword searches from the search bar / integrate toolbar and bookmark keyword searches,Firefox,enhancement,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,1,blocks
1515,248715,Avoid shifting the page when toolbars appear or disappear,Firefox,enhancement,982323,Breakdown:  Avoid shifting the page when toolbars appear or disappear,Firefox,enhancement,1,requires
1516,248715,Avoid shifting the page when toolbars appear or disappear,Firefox,enhancement,869543,Move findbar to the top,Firefox,enhancement,1,blocks
